2020-12-25,个人信息保护伞，绿盟BMG守护政府网站业务安全,http://mp.weixin.qq.com/s?__biz=MjM5ODYyMTM4MA==&mid=2650409155&idx=3&sn=8f615aa74e490a5f9edbd24a61eea5ce&chksm=bec9516889bed87ecceb7a93c82fe037143d16e15dc96a2ac9fc43c3e9880a25a3c9e1bc1654&scene=27#wechat_redirect,政务信息、商业秘密和个人信息保护面临严峻挑战,绿盟君,否,3,197,1,1
2020-12-25,前移安全能力建设｜绿盟科技提出安全咨询服务五大主张,http://mp.weixin.qq.com/s?__biz=MjM5ODYyMTM4MA==&mid=2650409155&idx=1&sn=bc00c8aade177b0acbf65ff5cfed79c4&chksm=bec9516889bed87e253cbe5f17a1318fdf0a0a734f62b68040188043fe0660fa506ed39bf522&scene=27#wechat_redirect,绿盟科技安全咨询五大主张及服务案例详解,绿盟君,否,1,869,2,4
2020-12-24,绿盟科技多行业案例入选安全牛《2020网络安全态势感知应用指南》,http://mp.weixin.qq.com/s?__biz=MjM5ODYyMTM4MA==&mid=2650409128&idx=2&sn=0f730802227a56c87d9f9d2267c52795&chksm=bec9510389bed81515df0d8ed4ab2a4cf16988dee18641dc504368c55d894ccf3ef2080fa5aa&scene=27#wechat_redirect,绿盟案例入围安全牛年度代表性厂商,绿盟君,否,2,1106,2,3
2020-12-24,“3+X”5G安全防护理念｜打造智能敏捷的5G安全运营闭环,http://mp.weixin.qq.com/s?__biz=MjM5ODYyMTM4MA==&mid=2650409128&idx=1&sn=b748727a6e67d0b973994362ed9e03a2&chksm=bec9510389bed8155c3d4d3e6f834de77ce1c767829ca14e98426064296246a6dc1be377f5e7&scene=27#wechat_redirect,绿盟科技5G安全建设思路和实践,绿盟君,否,1,504,1,4
2020-12-23,「公益译文」应用于国防和国家安全的AI工程,http://mp.weixin.qq.com/s?__biz=MjM5ODYyMTM4MA==&mid=2650409112&idx=2&sn=532446d4be8d5292028b237dc195d7ff&chksm=bec9513389bed82570a6f9a045aa14d2bb79104ba03639b667fb6232fef2b0a3fe6cc3906cec&scene=27#wechat_redirect,应用于国防和国家安全的AI工程详解,绿盟君,否,2,257,1,1
2020-12-23,保障大数据安全利器，绿盟敏感数据发现与风险评估系统护航数字政府建设,http://mp.weixin.qq.com/s?__biz=MjM5ODYyMTM4MA==&mid=2650409112&idx=3&sn=675010f85f80f5f0ccd887fb380fd76f&chksm=bec9513389bed825f705eda94510f22c3790c2a98467ccb33ffaf8381d9b8c25b153c53b3d36&scene=27#wechat_redirect,绿盟科技NSFOCUSIDR产品详解，助力政府数字建设,绿盟君,否,3,283,1,0
2020-12-23,绿盟科技出席2020年（第十届）电信和互联网行业网络安全年会,http://mp.weixin.qq.com/s?__biz=MjM5ODYyMTM4MA==&mid=2650409112&idx=1&sn=2210a6753c40d5e0fdcd729994764bc5&chksm=bec9513389bed825b4ed5647e5fc44e70c22a684e9aa88aa1c05b1b9f9431840f228e25f3530&scene=27#wechat_redirect,携多个解决方案及历年入选试点示范项目亮相展会,绿盟君,否,1,1095,3,7
2020-12-22,绿盟5G边缘计算医疗安全解决方案荣获2020年度十大5G行业应用案例奖,http://mp.weixin.qq.com/s?__biz=MjM5ODYyMTM4MA==&mid=2650409079&idx=2&sn=6cea09415b71afa7d22559cd6cc9b1a3&chksm=bec951dc89bed8ca51715d16a8681c02a702228bd91602302046c25a28ad6586b0e16c431aaa&scene=27#wechat_redirect,为医疗行业信息安全建设提供了新的思路及解决方案,绿盟君,否,2,1004,0,4
2020-12-22,绿盟WEB协同安全解决方案WAAP荣获中关村在线年度优秀产品奖,http://mp.weixin.qq.com/s?__biz=MjM5ODYyMTM4MA==&mid=2650409079&idx=3&sn=ecdff774160ccbb3fea6ebd174850a3e&chksm=bec951dc89bed8cafbc0c128e2469df8cd0bb43d357bae51103732197e65fe5b5cbd22ba44f1&scene=27#wechat_redirect,构建企业数据安全保险箱，助力企业数字化转型,绿盟君,否,3,354,0,1
2020-12-22,绿盟科技助力2020年全国电信和互联网行业网络安全管理职业技能竞赛（第九届）全国总决赛圆满收官,http://mp.weixin.qq.com/s?__biz=MjM5ODYyMTM4MA==&mid=2650409079&idx=1&sn=12f3a1b65be4dc6c2dfc1d8a15a4ca2c&chksm=bec951dc89bed8ca6d61997776c1f45e3274f81d4b5f3125b7cd28d34ebdb5ed700826698a13&scene=27#wechat_redirect,绿盟科技第六次全程提供技术支持与保障,绿盟君,否,1,949,0,6
